product_id,rating,review_text,review_date
P471546,5,"so amazing, completely corrects all redness. I have super red skin and this blends so well and gives me such a beautiful complexion",2022-05-28
P423688,5,This was gifted by Dermalogica Sampling. This was absolutely fabulous to try! My skin feels and looks so beautiful and bright! I can absolutely see why this has so many positive recommendations! I am definitely excited to continue using this one.,2022-08-24
P378852,5,"This is one of the moisturizers I will forever keep in my skincare arsenal. It’s very lightweight, which appeals to me because I have very oily skin. I love that my skin looks radiant the next morning.",2015-06-25
P441101,5,"This is one fantastic moisturizer. I do have normal/oily combination skin. OMG it does a great job. My face is well moisturized all day long. My skin looks youthful and dewy as well. People don’t believed I’m 36 years old. People mistaken me for being between 23-25 years old, even one time I was mistaken for being 21 LOL. For the price of this moisturizer was worth it. Small amounts goes long way with the help of this applicator. I would highly recommend anyone with this fantastic moisturizer.Also I mostly use this at day time and SK-II RNA cream at night time",2020-10-05
P269122,4,"I received a sample from PINCHme of DR DENNIS GROSS ALPHA BETA® EXTRA STRENGTH DAILY PEEL.  I liked the sample.  I would need to use it more than the sample allowed, in order to comment on its effectiveness.",2019-09-27
P454380,4,One of the better sunscreens I’ve purchased. Like that there is no white residue. Would purchase again.,2021-04-16
P450271,2,,2019-07-14
P480612,5,This has been one of my favorite face moisturizers to use. It’s not sticky at all and absorbs so well into your skin. It has a nice faint smell that isn’t too strong. I can already tell my skin is improving from this product.,2022-02-22
P418218,5,I’ve never tried a product that I loved enough to write a review until now....THIS MOISTURIZER IS AMAZING!! It’s so silky! When first applying it to my skin I literally said “wow...” out loud. It absorbs so well but does not clog my pores. Leaves a beautiful dewy radiance. The smell is supreme too! I instantly felt like I was being treated to a professional facial at home. Could not recommend this product any more! I have combo/ oily skin & finding a moisturizer that doesn’t clog my pores or further my oiliness has always been a problem. This moisturizer makes me excited to start my skincare routine every day! LOVE LOVE LOVE!,2020-04-07
P427421,3,"I mean it’s...fine. I’m not sure what I expected, but it was just...fine. It did absorb into my skin very nicely, but it just wasn’t enough moisture for me. A few hours after applying my skin would fee so dry again. I don’t have dry skin typically, but I’m currently living in a very dry climate for reference. And I saw more clogged pores than usual, which was disappointing. I loved the packaging though! Great for mixing, which DE recommends.",2019-06-09
P427421,3,"I love how soft my skin felt after only one use, was super hydrating but not sticky a lifesaver for dry skin BUT for oily/combo skin i would avoid, it clogged up my pores and broke out my skin. Forewarning, not at all non-comedogenic.",2019-05-13
P7880,5,"Must have, changed my acne forever and SMELLS AND FEELS AMAZING! YOU NEED THIS IN YOUR LIFE!",2019-06-25
P426183,4,"really wish it wasn’t so expensive, yes, my skin feels awesome when I use it regularly for a little while, but then can’t justify buying it again...but either way the best toner i’ve ever used!",2016-10-17
P269122,5,The Dr. Dennis Gross Alpha Beta extra strength daily peel makes my skin feel so great!  I usually use these during the day under spf and my skin just feels so much smoother than if I dont use them.  It doesn’t irritate my skin or cause breakouts.  My makeup goes on so smooth.  Overall I’m extremely happy with these and how the work on my skin.  I will definitely repurchase these.,2020-05-29
P122900,5,"I have combo-oily skin and this moisturizer glides so easily onto my skin when blending in. it provides moisture, which lasts the entire day! it does take a few minutes to dry, but the wait is worth it!",2012-09-17
P411540,5,"Holy Grail of all face products. 2 years strong, haven’t gone a day without out. It’s honestly one of those products that transforms your life because A) you can now just wear bronzer and mascara and feel great about how you look and B) you no longer have to lie to your dermatologist (or yourself) about applying SPF everyday. It’s a color corrector, moisturizer, and SPF all in one. I can’t speak highly enough about it.",2020-04-17
P430337,1,"The Good: very nice texture, glides on like a gel yet has a consistency of a cream.Smell is great. The Bad: It didnt mix well with any of my primers or foundations (made them all melt away), and just sat on my skin.I could actually see a mixture of moisturizer and foundation caking up in the creases of fine lines..yuck.  The Ugly: I bought this cream a while ago (maybe like nearly a year ago?) and I started to break out with tiny red whiteheads. Thought it could be a new mask I was using. I stopped using it, got my skin all cleared up and gave this another shot, but... SAME THING HAPPENED!  So what do I do again (because I love the brand)? I get my skin back to norm and give this another try....same breakouts. Anyhow, I was bummed out and couldnt return it at that point. So I started to use it on my neck only (not to throw away nearly  a full jar of pricy moisturizer) ...have to say it did just fine on my neck. But last week I run out of my regular DR Jart, so decided to use this one on my face and not just my neck.....guess what Im dealing with now?!?! :/ P.s. in addition to tiny red whiteheads this also gives me flaky dry patches.",2019-08-11
P126301,5,"I ADORE this product! I wear full-coverage makeup and lots of eyemakeup and this takes it off so easily. There is no strong smell, it immediately turns into a milky cleanser, and it rinses away easily. My skin feels great after I use it! Also, its great on the end of a q-tip for erasing any eye makeup mistakes!",2014-04-15
P453816,5,This stuff is the bomb!!! Took all my makeup off easily and didn’t leave any residue. Buy it!!!!!,2017-09-12
P411387,5,"This is my absolute favorite cleanser. I have repurchased twice and will continue to do so. The smell is light and fresh, it doesn’t leave my face feeling tight or dried out. My skin always looks so great after cleansing with this. You couldn’t get me to switch to anything else!",2019-07-21
P423688,5,"Disclaimer: Bzz Agent review of free product to try first.That being said, this exfoliant is AWESOME! I was a little thrown, at first, because it’s a powder that comes out of a regular looking (liquid facial care product) bottle, but maybe that was the only way to keep moisture out of the powder between uses? I was also unsure about how difficult (& wasteful, effective, etc...) a powder exfoliant, that I mix with water, in my hand, in the shower would be. As it turned out, being able to “adjust“ the exfoliant to water ratio makes this ideal for daily use, plus it’s easy to do, with very little waste (none that I could even see)! My face has felt soft after every shower, and, starting with the first day I used it, I’ve noticed small areas where impurities are coming to the surface. Not a major breakout, or blackheads, just subtle, tiny, painless, no-one-else-would-notice spots. Dermalogica does an amazing job of balancing innovation with simplicity! This is a unique product that will make anyone happy they gave it a try, and I really hope you do!",2020-03-13
P429952,5,"I have been using this product for a week and I can see how it is a staple in so many people’s beauty routine. I will continue to use it for a month before I say it’s a staple for me but I can say I’m excited to use it every time and see results! I have combination skin and going into the winter is when it leans to the drier side. When I first got this I thought I would wear it for 10 minutes and wash it off. NOPE! I like to wash tone serum then this to lock everything in overnight. My favorite combo has been this and my Farmacy Honeyglow! Gives the face a happy glow. I like the fact you don’t have to wash it off, how thick it is, the not to strong smell and the glow it gives my face.",2019-10-27
P309308,5,"I love this all in one treatment from Sunday Riley. Lactic acid works great at smoothing and brightening the skin. I’ve been using it every night, more like a serum (waiting about one minute before applying moisturizer), and after just 3 days I can notice that my skin looks brighter and less prone to breakouts. There’s a slight scent that is neither good nor bad but it fades super quick. And the consistency is a bit like a lotion / light cream. There’s a pump to help dispense a small amount each time (one pump seems enough, two pumps is more than enough to cover the entire face). I was gifted by Sunday Riley.",2021-02-07
P375849,3,I enjoy this essence but probably won’t purchase when I run out. It doesn’t cause any breakouts or irritation for my sensitive skin. It also doesn’t make a noticeable difference. It feels nice when applying and the scent isn’t overwhelming.,2021-06-10
P218700,5,Great for the under eyes area,2010-06-03
P427421,5,"Another expensive product worth the price! I had fine lines on my forehead and under my eyes and this stuff reduced them in what it seems like over night. I have very sensitive skin so I recommend only using this at night to start. Also, because it has peptides in the formula, be careful using it with other acids to start.",2022-07-10
P471546,5,This works great for my red spots either as a spot treatment or all over my face. I use it alone and with other products. Will repurchase!,2023-02-24
P442563,5,"Absolutely LOVE this product. I have combination skin and have serious problems with clogged pores in my T-zone, but this product has made drastic changes in my skins tone and texture. I use this about once a week and my pores are getting clearer and clearer with each use, my skin tone is more even, and my acne issues are clearing up as well. I’ve had a little bit of purging but just be patient because the long term benefits are worth it. Follow the directions to a T and if you have sensitive skin I’d recommend taking it off before the full ten min until your skin tolerance to acids build up. Definitely worth it, and I can’t believe how affordable it is.",2019-04-08
P427421,3,"I have used this for several months as part of a total overhaul of my skincare.  I use it at night.  I have picky dry skin that doesn’t do well with goopy product.  This has worked well.  However, I will not buy it again unless and until the package is redone.  It sits on my shelf next to another product, of the same oz.  This is TWICE the size.  There are lids and pumps and way too many plastic parts.  Just put it in a jar.  It totally defeats the “clean at Sephora“ label to have a clean product in so much packaging.  Sort of an oxymoron.  So yes, after literally decades looking for a good overnight cream I found one and I will walk away due to packaging.  It is that important to me.",2021-03-02
P269122,5,"I received one of these 2 step pads (2 pads in total) as one of my 3 free samples with an order a while back. The extra-strength made me think that they would be too harsh on my sensitive skin so I never used them. Last night, after getting out of the shower, I was not pleased with my skins appearance. My pores were clogged and overall my skin tone did not look great. I decided to try these and was not expecting anything because I never see results from anything after just one use. To my surprised I woke up in the morning and my skin looked great. I had a healthy glow and complexion. I was very impressed by this pads after just one use!!! They are pricey but I am definitely going to save up to purchase some!",2015-12-02
P417238,3,"I have heard lots of great things about this product but I will not be purchasing due to it containing polyethylene. If you are purchasing this under the impression that it is a clean product, be aware polyethylene is a micro plastic. I would totally purchase this product if this was not the case.",2020-05-04
P411540,5,I really like this product. It is a great mix between a natural and matte finish so it’s perfect. Also I would say do not fear about the orange. When I tried it I on my hand I had a panic buy when applied to my face it blends out beautifully and I am pretty fair skinned Also watch videos. It is recommended you warm up the product in the your hands and pat onto the face.,2022-04-22
P122900,5,"I’ve been searching for a moisturizer to cater to my combo, extremely sensitive, acne prone skin for such a long time and I have found it! This moisturizer is light weight, doesn’t leave a film(like with aloe vera gel or other “gel“ moisturizers i’ve tried), and scent free. It’s perfect for the summer and winter! I’ve noticed a dramatic difference in the quality of my skin after using this and I highly recommended it to others who have annoying skin - like me :D",2016-07-22
P427417,5,Awesome product. Have only been using it for over a week now - but it already shows improvement in my skin. Got it for some forehead acne and blemishes. Would surely recommend it!!,2020-05-03
P248407,5,"Eucerin ❌, Vaseline ❌, Mustela ❌, Wedela ❌, Aveeno ❌, Nivea ❌, Aquaphor ❌, Dr Rx ❌, CeraVe ❌, Cetaphil ❌ Absolutely nothing has helped my extreme pain, dryness and itch to go away or be soothed like FAB Ultra Repair Cream. This is magic and it’s exactly what my hands have needed. I actually bought the mango and grapefruit a while back and I didn’t care for it on my face so I left it in my cabinet. I recently decided to give it a try on my hands and it’s just a miracle cream, I bought more last week and my hands are about 80% better, I haven’t felt the burn when I simply wash my hands, my skin isn’t splitting and my hands don’t look old anymore. It can be a bit on the pricier side but it’s so worth it. Please don’t ever discontinue. This works 100%!!!",2022-03-12
P430337,3,"I bought this lotion and serum that went with it. Let me start by saying it smells amazing. I finished it fairly quickly even though I only used it before bed. I found myself hoping to wake up with glowing and bright skin and ran out of the product before seeing any effect really. My skin isn’t any softer, clearer, or more even than it was before.",2020-05-17
P471546,5,wow wow wow! what took me so long to try this? i’m terrible about wearing sunscreen b/c most of the time it breaks me out..but this has changed my mind! this has taken the place of my daily bb cream. it really does color match to your skin and relieves overall redness. amazing product!,2020-04-22
P456207,5,"I actually love this cream on my skin. It feels amazing.. and it doesn’t feel like it dries out my skin at all. I think I’ll be purchasing this in the long run, and will continue to use it on my skin. It keeps my skin pretty smooth and soft the whole day.",2020-03-10
P297524,5,You can see a huge difference immediately after washing off this mask. I have very sensitive skin and it does not irritate or dry my skin. This is the only detoxifying mask I will put on my face!,2019-06-12
P429952,2,"I tried this out for a few days. I was very excited to get my hands on this, however it did not live up to the hype that everyone was talking about. It did not hydrate my skin, which is something I was looking for. It does smell good, peppermint-ish, and it gives a cooling effect that is nice. I don’t think I sill repurchase this.I really wanted to love this product but it did not live up to what it to my expectations.",2020-08-17
P411540,3,Not the best for sensitive skin. I got this as a complimentary influenster gift and was not impressed.,2021-03-04
P427421,3,"This was the first product I ever purchased from the drunk elephant brand. I have combination, sensitive, acne-probe skin and I’m constantly in a battle for balance with my skin. I’ve tried literally every product available. I loved the light-weight texture of this product, the dispenser is state of the art for reducing product exposure to air, which deactivates the active ingredients for which we purchased the product in the first place.  Genius packaging, seriously.  Where this product fell short for me was that it wasn’t moisture from enough for my skin since I use Differin every night. I was just too flaky so I had to try the lala whipped instead. Would be really good as a lightweight daytime moisturizer for someone without my skin issues.",2020-01-23
P480612,4,"I can’t believe how lightweight this cream is and it’s so hydrating. It doesn’t leave your skin feeling sticky and your skin feels amazing the whole day. I have combination skin but mostly oily. I don’t really like the scent of it, it kind of smells like plato. I wouldn’t purchase it because it’s very expensive.",2022-02-01
P269122,5,"I received a sample of this product from PinchMe, and boy am I glad. Dr. Grossman’s chemical peel gave me superb results even though I only had 3 treatments. My Pores shrunk and some of my scars are less noticeable. Definitely worth buying! It will be my next purchae! I’m sure the rest of the line would intensify the results. I looked into getting a professional chemical peel, and paaqaside from being $3000,some of the meds I’m on are not good at mixing with anathesia. And I was advised  I could not go out during the day for at least 2 weeks after the procedure, bc I would have red, raw skin that should not be exposed to sunlight and is quite painful. I’m sure it leaves your skin beautiful once you’ve had one, but I don’t think I’m ready for that drastic step. I’m quite content to keep using this product to hasten my skin renewal without all those side effects. Of course the payoff isn’t as great as a professional chemical peel but neither are the side effects.",2019-01-11
P411387,5,"I freaking love this cleanser. I was worried that maybe it was all hype but I went into Sephora after mimosas one day and impulse bought anyway. It is sooo pleasant to use!! Has not broken me out at all, and my face feels really clean and soft after rinsing off. I usually use SR ceramic slip and will continue to use that one, but I see myself ordering a refill for this too once it runs out. I’m excited to try other YTTP products now. If you like to indulge on a cleanser this is a good one to try",2021-09-12
P232915,4,This will get rid of dead skin so quickly and make your skin feel so clean and fresh. It’s very expensive for the size you get and that’s the only reason I didn’t give it five stars.,2015-06-26
P394639,3,"Again, I received this product free to test and review. Just like the aloe one, I don’t think this performs any better than other, more budget-friendly, moisturizers. It’s a nice consistency, and feels good going on, but this one has an almost medicated scent to it??? It doesn’t last long, but it is a little weird. Regardless, it’s not a bad product, but it’s not life-changing. I’ll pass on this one.",2020-05-24
P460779,5,"bareMinerals created Skinlongevity Long Life Herb Anti-Aging Face Serum and I just love it! This serum is not too heavy on your skin, a little goes a long way! My skin immediately felt hydrated and soft after applying. I used daily and saw results fairly soon! My skin tone evened out and my fine wrinkles around my eyes improved! This is a great product and great value!",2021-02-27
P309308,4,I use this on top of the Sunday Riley luna night oil and get amazing results!! My skin is clear and feels so smooth,2021-01-14
P481817,4,"Surely refreshing, cooling, even a bit firming for a setting spray. The mist is heaven if you refrigerated it for a while before applying. It puts your makeup together, and brings you that subtle glow to your foundation that can ‘mislead’ people from distance that you have a beautiful skin- not oily, just naturally glowing. And it is oil-controlling, which is why I love it for the first place.However, this is certainly not hydrating. And the glowing won’t last if your skin becomes dehydrated during long hours makeup. That’s when you feel desiccated, which is not great for the winter in the North.",2020-01-17
P453816,3,I like this product for its ingredients but the farmacy one still does a better job at removing makeup...this one just smears waterproof mascara around on my face and doesn’t actually lift it. I find myself using more of this product to actually get all of my makeup off than when I was using the farmacy one. I just wish the farmacy one had these ingredients!!,2021-04-09
P248404,4,"I really like it. My skin decided to go crazy breakout a lot, I needed something new and I tried this. I have sensitive skin and it works great. Probay going to buy the bigger size.",2015-07-06
P269122,5,These pads have literally changed my skin completely ! I struggle with hormonal acne and had scars on my face due to a few cystic pimples ! Within the first week my skin cleared up and the marks are noticeably faded ! They are a bit pricey but It is so worth it to wake up with a clear fair and confidence in the morning ! I’ve read people cutting the wipes in half to save money !,2018-06-17
P417238,5,This balm is fantastic! Apply it to dry face and melts away all makeup. Does not strip my skin and is very hydrating!,2021-03-14
P421275,4,Loved these. Had a huge and painful pimple under my skin. Popped one on on my way to work and the next day it was almost completely better! I took a bunch to the office for my friends to try and no one has complained yet!,2019-06-25
P454794,1,"This product dried my skin out, and I have oily skin! It also was a bit irritating. Then I looked at the ingredients and saw alcohol. This is not a moisturizer if it has alcohol in it. That’s crazy. Not to mention all of the irritants that it contains. Fragrance, and the “gold,” to name a few unnecessary irritants. Gold is a metal, even in the small amount that’s in here, how could it not be irritating to the skin to rub tiny fragments of metal on your skin and not expect irritation or even inflammation. Strange product.",2019-06-09
P12573,5,"Love, love, LOVE this product! Super moisturizing without feeling heavy and the lemon & chamomile smells just right without being overpowering.I was suspicious (how can a lip balm be worth $7?), but I will never go back.",2008-11-18
P443563,3,I think this product is pretty boring. It’s nice and classy but I don’t think it’s anything special also the pear flavor is very subtle.,2019-04-06
P418218,5,"got the cutest looking sample ever. feels so amazing on my face, makes my skin so happy and hydrated :)",2017-08-09
P422905,5,"I have really dry skin, so I apply during the day with my other morning routine products and at night to keep my skin under my eyes hydrated. It has brightened my under eyes a bit and they’re definitely smoother which mom of 2 boys that gets no sleep is amazing! And yes finally a product that doesn’t have a chemically smell when saying they are not scented!",2021-06-19
P126301,5,"I really wanted to buy this, but I thought it was pretty expensive for what it is, considering you can get a huge container of coconut oil for way cheaper. So, when the small version came out for $13 I was excited to try it. I used the smallest amount and it took off full coverage foundation and all my mascara. It’s extremely light weight (unlike coconut oil) and doesn’t clog my pores. I’ve bee using it for 2 weeks and have barely put a dent in the small one, but I went out and got the large one anyways. It is expensive, but will last you forever!",2016-12-28
P417238,5,Amazing at removing makeup or just as a cleanser. It has a clean smell and I’ve also noticed a lot of my redness has been calmed down with this product as well as softer skin.,2020-01-05
P426183,5,Soaks up into the skin very well and makes it feel very fresh and rejuvenated! I highly recommend this and will continue to use it daily!,2021-05-10
P7880,5,"My face has never been in better shape, love this face wash.",2009-11-09
P423688,5,"I have never tried an exfoliant like this. And so I was excited to try it out. It’s super simple to use. You wet your hands then pour some of the powder into your palm, rub your hands together then massage your face. I have to adjust the ratio a bit when I first used it but I figured it out and my skin felt so good. So soft and shiny. I have had no reactions to this product and am so happy to keep using it.",2022-01-08
P421275,5,"Easy apply healing acne dots ! Just leave it overnight , the next morning my zit is dry up , continue to use for better result !! Break out can be annoying . And this is actually help u to drying up the acne , just put the dots on and leave it over night . Thanks to #Influenster who gave me this as a complimentary to try on .",2019-06-07
P42204,5,"Excellent for lips and cuticle, I use it everynight",2010-02-19
P417238,5,I tried using the boscia oil makeup remover but it did not take off my waterproof mascara. I went to exchange it for something stronger and the Sephora worker told me about this. I absolutely love it! It takes off my thick waterproof mascara!,2018-11-07
P456207,4,This is a great everyday moisturizer for my combination skin. The cream absorbs fast and makes my face feel hydrated. It smells good and does not feel greasy or filmy.,2020-04-06
P420652,5,Love this mask. Religious lip balm wearer but this mask makes such a huge difference. I don’t know if I can ever be without it!,2018-02-26
P450271,1,This was my holy grail make up remover until I read the other reviews about polyethylene being an ingredient. So disappointed in this brand. Will not be purchasing again.,2019-11-11
P441101,5,"My 42yo face adores this cream. It is the most moisturizing cream I’ve ever tried, and yet it’s smooth under make-up and doesn’t leave me shiny. I wish it came in a larger tub!",2021-02-06
P394624,5,"By far the best moisturizer I have ever used in my entire life. I have very flaky, dry skin and this is the only product I have found that gets ride of my flakiness and plumps and moisturizes. For everyone saying it’s too greasy, YOURE USING TO MUCH. this can be a heavy mess if you use too much. Works better with a light amount which is good so it lasts longer.",2017-12-05
P443352,5,"I received this product complimentary from Dermalogica in exchange for my honest opinion. It helps leave my skin so soft and smooth. It removes all the dry/ dead skin and helps keeping it bright and rejuvenated. I definitely recommend this product, I love it!",2021-10-19
P453816,5,I wear full face makeup daily.  Waterproof eyes and all.  This stuff is great.  Definitely will repurchase.,2017-02-20
P481817,5,"I really like this product, I use it throughout the day its a great pick me up. Re freshens my complexion i think its a summer must have , the scent can overwhelming for some.",2010-06-20
P409800,5,Very useful I really recommend it to you guys. It cleanses you’re fave very well and hands to I really liked it so I think you guys will to.,2019-09-13
P269122,5,"These things will change your life! (the life of your skin, that is.) I have been using them off and on for about the past 10 years. They are pricey but definitely worth it. They even out skin tone, fade my sun spots and make my skin look radiant. Even though they are “extra strength“ they are gentle enough to use daily. I feel a very mild tingle sensation when I use the first pad, and the second pad feeling very cooling and refreshing. You won’t be disappointed with these.",2020-04-29
P458219,5,I got this product from my #springIntoCleanVoxBox a few days ago and I started using it at night and I like how soft my face is with This also feels  and hydrated. The smell is not very strong and not a lot similar like watermelon but is still very fresh.,2020-05-06
P269122,5,This product really works for your breakouts on your face. Its grat that you can use it in the morning or at night. I do recommend it. Im glad i got to try this product as a sample,2020-05-20
P420652,5,"I love this lip mask. Living in New England, the winters dry out my lips a lot. I used lip balm regularly but my lips would still be cracked and even bleed once in a while. This lip mask was a life saver. Helped my lips and kept them soft and moisturized.",2020-05-05
P417238,5,Actually melts away all my makeup even very stubborn mascara! Love this is a game changer for skincare as a double cleanse step !!,2022-01-12
P456412,5,"This product is great for dehydrated skin. It’s creamy and helps with winter skin. It has a milky texture and after washing doesn’t leave your face feeling squeaky clean but moisturized. It is a lot for a wash but you don’t need a lot. I received my wash to review from influenster and if you are not sure about this, then get a sample from Sephora to test out.",2019-03-28
P302103,4,I have bought this multiple times. Works well but I don’t have overly dry lips. I would say maybe not as effective for places where you have harsher winters. I prefer Bite Agave Lip Mask for those purposes. Wish the price point wasn’t so high.,2019-11-12
P248407,4,I’ve been having issues with keeping my cheeks and chin from drying out and leaving these damaged patches. This repair cream is great for dry skin but for my severely dry skin I still needed other creams (I used face oils and the Sephora instant moisture cream). But I’m very satisfied with this cream overall. Will definitely repurchase!,2014-01-14
P411540,2,"I usually love Dr Jart products but this one wasn’t that great for me. I have a bit of rosacea on my cheeks near my nose and thought this would be great. The product is very thick, almost like a putty, and the color made my skin look weird. I’m not giving up on the Cicarepair completely, though. I’m returning this to get the Cicarepair cream in the tube. I think it may work better for me. I couldn’t decide which to get so I opted for this color correcting cream. I was disappointed.However, just because it didn’t work for me doesn’t mean it won’t work for you. As thick as it is, I don’t think it will break your skin out so it’s worth a try.",2016-10-28
P392246,3,Nice moisturizer. It didn’t irritate my skin,2016-06-07
P441644,1,"I didn’t like it. Way too watery, I felt like I didn’t put anything on my skin. Doesn’t remove makeuo either.",2017-08-04
P417238,5,"I’ve used other cleansing balms/oils but they don’t even compare to this! It melts instantly and you only need a little bit to get a full face of makeup off. I was truly surprised when every bit of my mascara melted right off! It comes right off with water too. No greasy residue and your skin is left soft and supple! I also didn’t experience any eye irritation, which has happened with other makeup removers. Great for travel! I will definitely be repurchasing.",2018-09-14
