product_id,product_name,brand_name,primary_category,secondary_category,tertiary_category,price_usd,sale_price_usd,ingredients,highlights,rating,review_cnt,rating_avg
P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,Skincare,Mini Size,,14.0,14.0,"['Water/Aqua/Eau, Cocamidopropyl Hydroxysultaine, Sodium Cocoyl Glutamate, Sorbeth-230 Tetraoleate, Polysorbate 20, Sodium Chloride, Aloe Barbadensis Leaf (Aloe Vera) Juice Powder, Brassica Oleracea Acephala (Kale) Leaf Extract, Spinacia Oleracea (Spinach) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Medicago Sativa (Alfalfa) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Tetrahexyldecyl Ascorbate (Vitamin C), Glycerin, Panthenol (Vitamin B5), Tocopheryl Acetate (Vitamin E), Decyl Glucoside, Sorbitan Laurate, Tetrasodium Glutamate Diacetate, Gluconolactone, Ethylhexylglycerin, Maltodextrin, Citric Acid, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Gardenia Jasminoides (Jasmine) Fruit Extract, Fragrance/Parfum, Sodium Hydroxide, Sodium Glycolate, Sodium Formate, Hexyl Cinnamal, Linalool, Limonene, Chlorophyllin-Copper Complex (CI 75810).']","['Refill Available', 'Community Favorite', 'Good for: Pores', 'Clean + Planet Positive', 'Best for Oily, Combo, Normal Skin', 'Without Sulfates SLS & SLES']",4.2121,5851,4.210220475132456
P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,Skincare,Treatments,Face Serums,6.0,6.0,"['Aqua (Water), Niacinamide, Pentylene Glycol, Zinc PCA, Dimethyl Isosorbide, Tamarindus Indica Seed Gum, Xanthan gum, Isoceteth-20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.']","['Vegan', 'Community Favorite', 'Oil Free', 'Without Silicones', 'Niacinamide']",4.2439,5790,4.241278065630397
P309308,Good Genes All-In-One AHA Lactic Acid Treatment,Sunday Riley,Skincare,Treatments,Face Serums,122.0,122.0,"['Botanical Blend [Aqua, Opuntia Tuna Fruit Extract, Cypripedium Pubescens Extract, Opuntia Vulgaris Leaf Extract, Agave Tequilana Leaf Extract, Arnica Montana Flower Extract, Aloe Barbadensis Leaf Extract, Saccharomyces Cerevisiae (Yeast) Extract, Leuconostoc/Radish Root Ferment Filtrate], Caprylic/Capric Triglyceride, Squalane, Lactic Acid, PPG-12 / SMDI Copolymer, Propanediol, Butylene Glycol, Stearic Acid, Dimethicone, Cetearyl Alcohol, Phenyl Trimethicone, Disiloxane, Ceteareth-20, Glyceryl Stearate, PEG-100 Stearate, Stearyl Glycyrrhetinate, Glycyrrhiza Glabra Root Extract, Cymbopogon Schoenanthus (Lemongrass) Oil, Potassium Hydroxide, Phenoxyethanol, Xanthan gum, Caprylyl Glycol, Chlorphenesin, Sodium Phytate.']","['Good for: Dullness/Uneven Texture', 'Lactic Acid', 'Community Favorite', 'Good for: Pores', 'Good for: Dark Circles', 'Cruelty-Free']",4.3375,5398,4.337347165616895
P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,Skincare,Moisturizers,BB & CC Creams,52.0,52.0,"['Water, Centella asiatica Leaf Water, Isononyl Isononanoate, Cyclopentasiloxane, Butylene Glycol, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Beeswax/Cire d’abeille, Glycerin, Diethylhexyl Carbonate, Polyglyceryl-3 Polyricinoleate, Niacinamide, Polymethylsilsesquioxane, Cyclohexasiloxane, Pan-Thenol, Diglycerin, Iron Oxides, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Dimethicone/Vinyl Dimethi- Cone Crosspolymer, Isododecane, Ethylene/Methacrylate Copolymer, Cetearyl Alcohol, Polyglyceryl-2 Triisostearate, Aluminum Hydroxide, Stearic Acid, Disteardimonium Hectorite, Acrylates/Ammonium Methacrylate Copolymer, Sclerotium Gum, Sodium Benzoate, Acrylates/Dimethicone Copolymer, Hydrogen Dimethicone, Chromium Oxide Greens, Triethyl Citrate, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, BHT, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Boron Nitride, Asiatic Acid, Madecassic Acid, Citrus Grandis (Grapefruit) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Propanediol, Centella asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Polysorbate 20, Aniba Rosodora (Rosewood) Wood Oil, Sodium Glycerophosphate, Selaginella Lepidophylla Extract, Potassium Magnesium Aspartate, Citric Acid, Calcium Gluconate, Madecassoside, Magnesium Gluconate, Centella asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide.']","['Natural Finish', 'Good for: Redness', 'Medium Coverage', 'SPF']",3.9904,5320,3.98984962406015
P42204,Rosebud Salve,Rosebud Perfume Co.,Skincare,Lip Balms & Treatments,,7.0,7.0,"['Pure White Petrolatum (Surgical Grade), Cotton Seed Oil, Trade Secret Blend of Essential Oils, Botanicals.']",,4.6463,5199,4.645316407001347
P471546,Mini Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,Skincare,Mini Size,,21.0,21.0,"['Water, Centella Asiatica Leaf Water, Isononyl Isononanoate, Cyclopentasiloxane, Butylene Glycol, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Beeswax/Cire d’abeille, Glycerin, Diethylhexyl Carbonate, Polyglyceryl-3 Polyricinoleate, Niacinamide, Polymethylsilsesquioxane, Cyclohexasiloxane, Pan-Thenol, Diglycerin, Iron Oxides, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Dimethicone/Vinyl Dimethi- Cone Crosspolymer, Isododecane, Ethylene/Methacrylate Copolymer, Cetearyl Alcohol, Polyglyceryl-2 Triisostearate, Aluminum Hydroxide, Stearic Acid, Disteardimonium Hectorite, Acrylates/Ammonium Methacrylate Copolymer, Sclerotium Gum, Sodium Benzoate, Acrylates/Dimethicone Copolymer, Hydrogen Dimethicone, Chromium Oxide Greens, Triethyl Citrate, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, BHT, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Boron Nitride, Asiatic Acid, Madecassic Acid, Citrus Grandis (Grapefruit) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Propanediol, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Polysorbate 20, Aniba Rosodora (Rosewood) Wood Oil, Sodium Glycerophosphate, Selaginella Lepidophylla Extract, Potassium Magnesium Aspartate, Citric Acid, Calcium Gluconate, Madecassoside, Magnesium Gluconate, Centella Asiatica Meristem Cell Culture, Xanthan Gum,  Titanium Dioxide, Zinc Oxide.']","['Good for: Redness', 'Community Favorite', 'Matte Finish', 'Best for Oily, Combo, Normal Skin', 'SPF', 'Niacinamide']",4.0165,5034,4.016090584028605
P248404,Pure Skin Face Cleanser,First Aid Beauty,Skincare,Cleansers,Face Wash & Cleansers,24.0,24.0,"['Aqua/Water/Eau, Sodium Cocoyl Isethionate, Glycerin, Stearic Acid, Hydrogenated Coconut Acid, Sodium Isethionate, Stearyl Alcohol, Allantoin,  Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Aloe Barbadensis Leaf Juice, Tocopherol, Hydrogenated Palm Glycerides Citrate, Phenoxyethanol, Disodium Cocoamphodiacetate, Sodium PCA, Hydroxypropyl Methylcellulose, Coco-Glucoside, Glyceryl Oleate, Sodium Chloride, Disodium EDTA, Citric Acid, Potassium Sorbate, Sodium Benzoate, Maltodextrin,  Tetrasodium EDTA.']","['Good for: Redness', 'Community Favorite', 'Good for: Dark Circles', 'Clean at Sephora', 'Fragrance Free', 'Cruelty-Free']",4.3738,4728,4.373730964467005
P423688,Daily Microfoliant Exfoliator,Dermalogica,Skincare,Cleansers,Exfoliators,65.0,65.0,"['Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Starch, Hydrogenated Coconut Acid, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PCA, Populus Tremuloides Bark Extract, Cyclodextrin, Sodium Isethionate, Lauryl Methacrylate/Glycol Dimethacrylate Copolymer, Maltodextrin, Melaleuca, Alternifolia (Tea Tree) Leaf Oil, Citrus Paradisi (Grapefruit) Peel Oil, Sodium Dehydroacetate, Hydrolyzed Corn Starch Hydroxyethyl Ether, Water/Aqua/Eau, Limonene, Citric Acid.']","['Vegan', 'Good for: Dullness/Uneven Texture', 'allure 2019 Best of Beauty Award Winner', 'Salicylic Acid', 'Best for Oily, Combo, Normal Skin', 'Cruelty-Free']",4.696,4596,4.695604873803307
P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,Skincare,Mini Size,,18.0,18.0,"['Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Starch, Hydrogenated Coconut Acid, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PCA, Populus Tremuloides Bark Extract, Cyclodextrin, Sodium Isethionate, Lauryl Methacrylate/Glycol Dimethacrylate Copolymer, Maltodextrin, Melaleuca, Alternifolia (Tea Tree) Leaf Oil, Citrus Paradisi (Grapefruit) Peel Oil, Sodium Dehydroacetate, Hydrolyzed Corn Starch Hydroxyethyl Ether, Water/Aqua/Eau, Limonene, Citric Acid.']","['Vegan', 'Good for: Dullness/Uneven Texture', 'allure 2019 Best of Beauty Award Winner', 'Salicylic Acid', 'Best for Oily, Combo, Normal Skin']",4.696,4596,4.695604873803307
P421275,Salicylic Acid Acne Healing Dots,Peace Out,Skincare,Treatments,Blemish & Acne Treatments,19.0,19.0,"['Salicylic Acid 0.5%, Aloe Barbadensis (Aloe Vera) Leaf Extract, Retinyl Acetate (Vitamin A), Hydrocolloid Polymer Technology.']","['Good for: Redness', 'allure 2019 Best of Beauty Award Winner', 'Clean at Sephora', 'Good for: Acne/Blemishes', 'Salicylic Acid', 'Without Sulfates SLS & SLES']",4.1779,4573,4.176907937896348
P297524,Clear Improvement Active Charcoal Mask to Clear Pores,Origins,Skincare,Masks,Face Masks,17.0,17.0,"['Water, Myrtus Communis (Myrtle) Leaf Water, Kaolin, Bentonite, Butylene Glycol, Montmorillonite, Polysorbate 20, Peg-100 Stearate, Charcoal Powder, Xanthan Gum, Lecithin, Peg-150 Distearate, Propylene Glycol Stearate, Sorbitan Laurate, Glycerin, Propylene Glycol Laurate, Simethicone, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Trisodium Edta, Dehydroacetic Acid, Phenoxyethanol.']","['Vegan', 'Good for: Pores', 'Clean at Sephora', 'Best for Oily, Combo, Normal Skin']",4.3292,4526,4.329209014582413
P394624,The True Cream Moisturizing Bomb,belif,Skincare,Moisturizers,Moisturizers,38.0,38.0,"['Water, Dipropylene Glycol, Glycerin, Methl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract*, Equisetum Arvense Leaf Extract*, Stellaria Media (Chickweed) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Plantago Lanceolata Leaf Extract*, Avena Sativa (Oat) Kernel Extract**, Calendula Officinalis Flower Extract**, Nepeta Cataria Extract**, Rubus Idaeus (Raspberry) Leaf Extract**, Baptisia Tinctoria Root Extract**, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance+, Citronellol, Limonene, Citral, Geraniol, Linalool.']",,4.5631,4514,4.562693841382366
P429952,Jet Lag Mask,Summer Fridays,Skincare,Masks,Face Masks,49.0,49.0,"['Water/Aqua/Eau, Caprylic/Capric Triglyceride, Diheptyl Succinate, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Niacinamide, Pentylene Glycol, Glycerin, Sorbitan Stearate, Glyceryl Stearate, Sodium Hyaluronate, Ceramide EOP, Ceramide NP, Ceramide AP, Aminopropyl Ascorbyl Phosphate, Allantoin, Bisabolol, Panthenol, Physalis Angulata Extract, Castanea Sativa (Chestnut) Seed Extract, Tocopheryl Acetate, Phytosphingosine, Capryloyl Glycerin/Sebacic Acid Copolymer, Ethylhexylglycerin, Tetrasodium Glutamate Diacetate, Cucumis Sativus (Cucumber) Fruit Extract, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, PEG-100 Stearate, Phenoxyethanol.']","['Vegan', 'Hyaluronic Acid', 'Hydrating', 'Clean at Sephora', 'Fragrance Free', 'Good for: Dryness', 'Niacinamide', 'Cruelty-Free']",4.0262,4427,4.0257510729613735
P480630,Mini Jet Lag Mask,Summer Fridays,Skincare,Masks,Face Masks,26.0,26.0,"['Water/Aqua/Eau, Caprylic/Capric Triglyceride, Diheptyl Succinate, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Niacinamide, Pentylene Glycol, Glycerin, Sorbitan Stearate, Glyceryl Stearate, Sodium Hyaluronate, Ceramide EOP, Ceramide NP, Ceramide AP, Aminopropyl Ascorbyl Phosphate, Allantoin, Bisabolol, Panthenol, Physalis Angulata Extract, Castanea Sativa (Chestnut) Seed Extract, Tocopheryl Acetate, Phytosphingosine, Capryloyl Glycerin/Sebacic Acid Copolymer, Ethylhexylglycerin, Tetrasodium Glutamate Diacetate, Cucumis Sativus (Cucumber) Fruit Extract, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, PEG-100 Stearate, Phenoxyethanol.']","['Vegan', 'Hyaluronic Acid', 'Hydrating', 'Clean at Sephora', 'Fragrance Free', 'Good for: Dryness', 'Niacinamide', 'Cruelty-Free']",4.0262,4427,4.0257510729613735
P126301,Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,Skincare,Cleansers,Face Wash & Cleansers,38.0,38.0,"['Ethylhexyl Palmitate, Carthamus Tinctorius (Safflower) Seed Oil, Caprylic/Capric Triglyceride, Sorbeth-30 Tetraoleate, Polyethylene, Peg-5 Glyceryl Triisostearate, Water, Tocopherol, Phenoxyethanol.']","['Vegan', 'Community Favorite', 'Fragrance Free', 'allure 2021: Clean Beauty Winner', 'Best for Dry, Combo, Normal Skin', 'Without Sulfates SLS & SLES']",4.5294,4373,4.529384861651041
